Epoch 1/100, Train Loss: 0.7186248381932576, Validation Loss: 0.5457349866628647, Precision: 0.6666666666666666, Recall: 0.20732386521860205, F1: 0.2843045843045843, Accuracy: 0.24369747899159663
Epoch 2/100, Train Loss: 0.3338995074232419, Validation Loss: 0.2518201693892479, Precision: 0.8333333333333334, Recall: 0.6912002227791701, F1: 0.7532290778753042, Accuracy: 0.8571428571428571
Epoch 3/100, Train Loss: 0.15156836410363514, Validation Loss: 0.16334228590130806, Precision: 0.8222222222222223, Recall: 0.7540657198551936, F1: 0.7858495858495859, Accuracy: 0.9159663865546218
Epoch 4/100, Train Loss: 0.09357048173745473, Validation Loss: 0.1451026350259781, Precision: 0.8175655761862659, Recall: 0.7564466722361459, F1: 0.7853688501522776, Accuracy: 0.9243697478991597
Epoch 5/100, Train Loss: 0.06178249319394429, Validation Loss: 0.113686079159379, Precision: 0.8233127026230475, Recall: 0.7707741576162629, F1: 0.7955230721709065, Accuracy: 0.9327731092436975
Epoch 6/100, Train Loss: 0.03850801599522432, Validation Loss: 0.09349971264600754, Precision: 0.8291666666666666, Recall: 0.8015455304928989, F1: 0.8149516210912342, Accuracy: 0.957983193277311
Epoch 7/100, Train Loss: 0.028518363709251086, Validation Loss: 0.09223516471683979, Precision: 0.8236111111111111, Recall: 0.7978418267891952, F1: 0.8103812872105555, Accuracy: 0.9495798319327731
Epoch 8/100, Train Loss: 0.020501480903476477, Validation Loss: 0.0852434216067195, Precision: 0.8277777777777778, Recall: 0.7978418267891952, F1: 0.8123385290051957, Accuracy: 0.9495798319327731
Epoch 9/100, Train Loss: 0.013950115628540516, Validation Loss: 0.08514487184584141, Precision: 0.8277777777777778, Recall: 0.7978418267891952, F1: 0.8123385290051957, Accuracy: 0.9495798319327731
Epoch 10/100, Train Loss: 0.010435690296192963, Validation Loss: 0.07827347796410322, Precision: 0.8291666666666666, Recall: 0.7978418267891952, F1: 0.8131119840090489, Accuracy: 0.9495798319327731
Epoch 11/100, Train Loss: 0.008347507488603393, Validation Loss: 0.0792195200920105, Precision: 0.8277777777777778, Recall: 0.7978418267891952, F1: 0.8123385290051957, Accuracy: 0.9495798319327731
Epoch 12/100, Train Loss: 0.0067883684144665795, Validation Loss: 0.08020356670022011, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
Epoch 13/100, Train Loss: 0.00580862513743341, Validation Loss: 0.07899125199764967, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
Epoch 14/100, Train Loss: 0.004993139548848073, Validation Loss: 0.07893846184015274, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
