Epoch 1/100, Train Loss: 0.6948903053998947, Validation Loss: 0.48292557895183563, Precision: 0.6666666666666666, Recall: 0.40171261487050963, F1: 0.4788251366120218, Accuracy: 0.5378151260504201
Epoch 2/100, Train Loss: 0.2914557049671809, Validation Loss: 0.23122837394475937, Precision: 0.8275862068965517, Recall: 0.758869395711501, F1: 0.7906596228630128, Accuracy: 0.9159663865546218
Epoch 3/100, Train Loss: 0.13117400482296943, Validation Loss: 0.1572265811264515, Precision: 0.8333333333333334, Recall: 0.7508911166805904, F1: 0.7887254901960784, Accuracy: 0.9243697478991597
Epoch 4/100, Train Loss: 0.07762798691789309, Validation Loss: 0.12880322337150574, Precision: 0.8333333333333334, Recall: 0.7779587858535226, F1: 0.8043673999814351, Accuracy: 0.9495798319327731
Epoch 5/100, Train Loss: 0.04658997096121311, Validation Loss: 0.11064261384308338, Precision: 0.8333333333333334, Recall: 0.7851016429963797, F1: 0.8081539772217737, Accuracy: 0.957983193277311
Epoch 6/100, Train Loss: 0.030795618332922457, Validation Loss: 0.10825963504612446, Precision: 0.8333333333333334, Recall: 0.7779587858535226, F1: 0.8043673999814351, Accuracy: 0.9411764705882353
Epoch 7/100, Train Loss: 0.02046130526190003, Validation Loss: 0.08842849917709827, Precision: 0.8333333333333334, Recall: 0.7890698969646337, F1: 0.8103144710489344, Accuracy: 0.9663865546218487
Epoch 8/100, Train Loss: 0.014052098027120034, Validation Loss: 0.08228020928800106, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
Epoch 9/100, Train Loss: 0.010660165455192327, Validation Loss: 0.082098632119596, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
Epoch 10/100, Train Loss: 0.008258588068808118, Validation Loss: 0.08232461288571358, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9663865546218487
Epoch 11/100, Train Loss: 0.006679756660014391, Validation Loss: 0.07644555997103453, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
Epoch 12/100, Train Loss: 0.00549672640239199, Validation Loss: 0.07857889728620648, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
Epoch 13/100, Train Loss: 0.004605663754045963, Validation Loss: 0.0812377156689763, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 14/100, Train Loss: 0.0038657424583410224, Validation Loss: 0.07887114770710468, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
Epoch 15/100, Train Loss: 0.0034539500639463464, Validation Loss: 0.07844345876947045, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.9663865546218487
