Epoch 1/100, Train Loss: 0.6833455860614777, Validation Loss: 0.5183505266904831, Precision: 0.8250000000000001, Recall: 0.29394319131161234, F1: 0.4066666666666667, Accuracy: 0.3865546218487395
Epoch 2/100, Train Loss: 0.3333241447806358, Validation Loss: 0.26755018532276154, Precision: 0.8221099887766554, Recall: 0.7173350041771095, F1: 0.7653537269326743, Accuracy: 0.8487394957983193
Epoch 3/100, Train Loss: 0.1733764333029588, Validation Loss: 0.20359336957335472, Precision: 0.8225308641975309, Recall: 0.7287524366471735, F1: 0.7717770908560383, Accuracy: 0.8739495798319328
Epoch 4/100, Train Loss: 0.10575238838791848, Validation Loss: 0.1570432111620903, Precision: 0.8226559893226559, Recall: 0.7604984683932052, F1: 0.7901746040320324, Accuracy: 0.8991596638655462
Epoch 5/100, Train Loss: 0.06727949927250544, Validation Loss: 0.14281048998236656, Precision: 0.8227745289148798, Recall: 0.7732386521860207, F1: 0.7969470410259883, Accuracy: 0.907563025210084
Epoch 6/100, Train Loss: 0.04684843961149454, Validation Loss: 0.1363125704228878, Precision: 0.8228869895536562, Recall: 0.7772069061542747, F1: 0.799158975182367, Accuracy: 0.9159663865546218
Epoch 7/100, Train Loss: 0.03281457840154568, Validation Loss: 0.11566682532429695, Precision: 0.8228869895536562, Recall: 0.7772069061542747, F1: 0.799158975182367, Accuracy: 0.9159663865546218
Epoch 8/100, Train Loss: 0.023859537268678347, Validation Loss: 0.1101163923740387, Precision: 0.8230954531767539, Recall: 0.7851434140907826, F1: 0.8034229446404462, Accuracy: 0.9327731092436975
Epoch 9/100, Train Loss: 0.0181075814490517, Validation Loss: 0.11766813136637211, Precision: 0.8231074481074482, Recall: 0.7827624617098302, F1: 0.8022846053497394, Accuracy: 0.9159663865546218
Epoch 10/100, Train Loss: 0.013317824574187398, Validation Loss: 0.11276669800281525, Precision: 0.8231074481074482, Recall: 0.7827624617098302, F1: 0.8022846053497394, Accuracy: 0.9159663865546218
Epoch 11/100, Train Loss: 0.01025717523880303, Validation Loss: 0.10916902124881744, Precision: 0.8232142857142858, Recall: 0.7867307156780842, F1: 0.8044425898925479, Accuracy: 0.9243697478991597
Epoch 12/100, Train Loss: 0.008439485107858975, Validation Loss: 0.10776946134865284, Precision: 0.8231074481074482, Recall: 0.7827624617098302, F1: 0.8022846053497394, Accuracy: 0.9159663865546218
Epoch 13/100, Train Loss: 0.006922674489518007, Validation Loss: 0.11037995759397745, Precision: 0.8232142857142858, Recall: 0.7867307156780842, F1: 0.8044425898925479, Accuracy: 0.9243697478991597
Epoch 14/100, Train Loss: 0.005841447661320369, Validation Loss: 0.10894856415688992, Precision: 0.8232142857142858, Recall: 0.7867307156780842, F1: 0.8044425898925479, Accuracy: 0.9243697478991597
Epoch 15/100, Train Loss: 0.005029853619635105, Validation Loss: 0.11178725585341454, Precision: 0.8232142857142858, Recall: 0.7867307156780842, F1: 0.8044425898925479, Accuracy: 0.9243697478991597
Epoch 16/100, Train Loss: 0.004448527353815734, Validation Loss: 0.11157649755477905, Precision: 0.8232142857142858, Recall: 0.7867307156780842, F1: 0.8044425898925479, Accuracy: 0.9243697478991597
