Epoch 1/100, Train Loss: 0.7033355315526326, Validation Loss: 0.5139943063259125, Precision: 0.6578947368421052, Recall: 0.28692564745196325, F1: 0.3782128789861545, Accuracy: 0.40336134453781514
Epoch 2/100, Train Loss: 0.3064988076686859, Validation Loss: 0.24972249567508698, Precision: 0.8333333333333334, Recall: 0.6451267056530214, F1: 0.726171744921745, Accuracy: 0.7983193277310925
Epoch 3/100, Train Loss: 0.1387278365592162, Validation Loss: 0.1614426039159298, Precision: 0.8333333333333334, Recall: 0.7811333890281258, F1: 0.8061890375986063, Accuracy: 0.9411764705882353
Epoch 4/100, Train Loss: 0.07891799919307232, Validation Loss: 0.13495635241270065, Precision: 0.8333333333333334, Recall: 0.7843497632971318, F1: 0.8077712744233914, Accuracy: 0.9411764705882353
Epoch 5/100, Train Loss: 0.04856352483232816, Validation Loss: 0.10735866613686085, Precision: 0.8333333333333334, Recall: 0.8033973823447508, F1: 0.8178940845607512, Accuracy: 0.957983193277311
Epoch 6/100, Train Loss: 0.03188998072097699, Validation Loss: 0.09551118686795235, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.9495798319327731
Epoch 7/100, Train Loss: 0.021018904726952316, Validation Loss: 0.08353941049426794, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 8/100, Train Loss: 0.014596200517068307, Validation Loss: 0.08512882515788078, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 9/100, Train Loss: 0.01079109547038873, Validation Loss: 0.08448285702615976, Precision: 0.8333333333333334, Recall: 0.8033973823447508, F1: 0.8178940845607512, Accuracy: 0.957983193277311
Epoch 10/100, Train Loss: 0.008465034514665603, Validation Loss: 0.0809687552973628, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 11/100, Train Loss: 0.006619135352472464, Validation Loss: 0.07998225372284651, Precision: 0.8333333333333334, Recall: 0.8033973823447508, F1: 0.8178940845607512, Accuracy: 0.957983193277311
Epoch 12/100, Train Loss: 0.0054652896942570806, Validation Loss: 0.08067576121538877, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 13/100, Train Loss: 0.004613459467266997, Validation Loss: 0.0759185180068016, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 14/100, Train Loss: 0.003951168168957035, Validation Loss: 0.07735020015388727, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 15/100, Train Loss: 0.003413472953252494, Validation Loss: 0.0751296617090702, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 16/100, Train Loss: 0.002966645134923359, Validation Loss: 0.07524453848600388, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 17/100, Train Loss: 0.002594368563344081, Validation Loss: 0.07528596604242921, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 18/100, Train Loss: 0.0023325410089455544, Validation Loss: 0.07469234289601445, Precision: 0.8333333333333334, Recall: 0.8033973823447508, F1: 0.8178940845607512, Accuracy: 0.957983193277311
Epoch 19/100, Train Loss: 0.0020792996472058195, Validation Loss: 0.07666544709354639, Precision: 0.8333333333333334, Recall: 0.8033973823447508, F1: 0.8178940845607512, Accuracy: 0.957983193277311
Epoch 20/100, Train Loss: 0.0018746786673242847, Validation Loss: 0.07598327938467264, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 21/100, Train Loss: 0.0016944987582974136, Validation Loss: 0.07491660816594958, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
Epoch 22/100, Train Loss: 0.0015596656206374366, Validation Loss: 0.07502362644299865, Precision: 0.8333333333333334, Recall: 0.8073656363130047, F1: 0.8200018834165176, Accuracy: 0.9663865546218487
